t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1556558454,179,2.000000,0.251543,0.000000,0.434976,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.344019,0.435722,0.323052,0.159277,calls/second,milliseconds
1556558457,180,2.000000,0.242875,0.000000,0.429872,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.343957,0.435722,0.323052,0.159277,calls/second,milliseconds
1556558460,181,2.000000,0.234547,0.000000,0.424743,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.343896,0.432866,0.324324,0.160611,calls/second,milliseconds
1556558463,183,2.000000,0.253076,0.000000,0.435708,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.345727,0.432866,0.324324,0.160611,calls/second,milliseconds
1556558466,184,2.000000,0.244400,0.000000,0.430643,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.345659,0.430238,0.325575,0.161937,calls/second,milliseconds
1556558469,185,2.000000,0.235939,0.000000,0.425476,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.345587,0.427820,0.326805,0.163256,calls/second,milliseconds
1556558472,186,2.000000,0.227812,0.000000,0.420292,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.345520,0.427820,0.326805,0.163256,calls/second,milliseconds
1556558475,188,2.000000,0.212388,0.000000,0.409831,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.347298,0.425596,0.328015,0.164567,calls/second,milliseconds
1556558478,189,2.000000,0.205074,0.000000,0.404570,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.347222,0.425596,0.328015,0.164567,calls/second,milliseconds
1556558481,190,2.000000,0.198045,0.000000,0.399324,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.347146,0.423550,0.329205,0.165872,calls/second,milliseconds
1556558484,192,2.000000,0.219043,0.000000,0.414314,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348887,0.421667,0.330375,0.167169,calls/second,milliseconds
1556558487,193,2.000000,0.211536,0.000000,0.409098,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348803,0.421667,0.330375,0.167169,calls/second,milliseconds
1556558490,194,2.000000,0.204216,0.000000,0.403813,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348716,0.435925,0.334831,0.169567,calls/second,milliseconds
1556558493,195,2.000000,0.197185,0.000000,0.398543,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348638,0.435925,0.334831,0.169567,calls/second,milliseconds
1556558496,197,2.000000,0.218440,0.000000,0.413790,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.350334,0.433053,0.335909,0.170843,calls/second,milliseconds
1556558499,198,2.000000,0.245347,0.000000,0.430851,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.350244,0.430410,0.336968,0.172113,calls/second,milliseconds
1556558502,199,2.000000,0.236941,0.000000,0.425751,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.350154,0.430410,0.336968,0.172113,calls/second,milliseconds
